dataset,model,kernel,scaler,poly,ridge,n_train,n_test,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
BoT_IoT,HHH,laplacian,MinMaxScaler,-1,0.001,7729,2024,6,0.9993990310952776,99.98353096179183,99.92559523809524,0.009881422924901186,99.95843724023275,99.94190706806648,99.98352832512315,100.0,0.05743074417114258,1.2595219612121582,0.24521827697753906,2028.40625,ok
BoT_IoT,HHH,laplacian,MinMaxScaler,-1,0.1,7729,2024,6,0.9993990310952776,99.98353096179183,99.92559523809524,0.009881422924901186,99.95843724023275,99.94190706806648,99.98352832512315,100.0,0.055838823318481445,1.2074689865112305,0.24331378936767578,2029.0,ok
BoT_IoT,HHH,laplacian,MinMaxScaler,-1,1e-05,7729,2024,6,0.9993990310952776,99.98353096179183,99.92559523809524,0.009881422924901186,99.95843724023275,99.94190706806648,99.98354400428754,100.0,0.05448603630065918,1.262298822402954,0.24404096603393555,2027.953125,ok
BoT_IoT,HHH,laplacian,MinMaxScaler,-1,1e-07,7729,2024,6,0.9993990310952776,99.98353096179183,99.92559523809524,0.009881422924901186,99.95843724023275,99.94190706806648,99.98354400428754,100.0,0.05702090263366699,1.3192758560180664,0.24333786964416504,2027.859375,ok
BoT_IoT,HHH,laplacian,MinMaxScaler,-1,1e-09,7729,2024,6,0.9993990310952776,99.98353096179183,99.92559523809524,0.009881422924901186,99.95843724023275,99.94190706806648,99.98354400428754,100.0,0.08102130889892578,1.2980380058288574,0.25806593894958496,2012.546875,ok
BoT_IoT,HHHv2,laplacian,MinMaxScaler,-1,0.001,7729,2024,6,1.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.052487850189208984,1.3603038787841797,0.250441312789917,2029.1875,ok
BoT_IoT,HHHv2,laplacian,MinMaxScaler,-1,0.1,7729,2024,6,1.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.05490922927856445,1.307332992553711,0.2516627311706543,2029.21875,ok
BoT_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-05,7729,2024,6,1.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.053344011306762695,1.3136510848999023,0.25081872940063477,2029.15625,ok
BoT_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-07,7729,2024,6,1.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.05587291717529297,1.2618992328643799,0.24723601341247559,2029.109375,ok
BoT_IoT,HHHv2,laplacian,MinMaxScaler,-1,1e-09,7729,2024,6,1.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.05452537536621094,1.2226600646972656,0.25029516220092773,2029.046875,ok
CIC_IoT2023,HHH,laplacian,MinMaxScaler,-1,0.001,7640,2000,6,0.9957186717165477,99.9,99.63333333333333,0.06,99.50371902861929,99.5678942774741,99.9177148148148,100.0,0.11708498001098633,1.7257909774780273,0.4222540855407715,3033.9375,ok
CIC_IoT2023,HHH,laplacian,MinMaxScaler,-1,0.1,7640,2000,6,0.9935804866104967,99.85000000000001,99.45,0.09,99.25660066006601,99.35234557811854,99.91081666666666,100.0,0.12020707130432129,1.4497582912445068,0.42321205139160156,3033.9375,ok
