dataset,model,kernel,scaler,poly,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
ToN_IoT,HHH,None,QuantileTransformer,-1,44,7333,1920,8,0.1718233966052938,83.90046296296296,26.89814814814815,27.552083333333332,9.055989583333334,33.75763842735846,38.28524449740935,23.373016810438425,23.945021266021268,74.5223361744356,74.16905397881818,74.66784598214285,86.35392441860465,0.31582117080688477,12.53171682357788,0.0003190040588378906,1510.546875,ok
ToN_IoT,HHH,None,QuantileTransformer,-1,45,7333,1920,8,0.14067560627189674,83.33333333333334,24.666666666666664,25.0,9.375,29.863965301842594,30.947683311318276,21.448643128472465,21.7067172059789,73.10494039068521,73.06447972270388,73.25152529761904,85.8561046511628,0.16873598098754883,12.214282989501953,0.0005269050598144531,1508.390625,ok
ToN_IoT,HHH,None,QuantileTransformer,-1,46,7333,1920,8,0.15865740545379156,83.7037037037037,26.194444444444443,26.666666666666668,9.166666666666666,31.90466896172039,33.80243248705925,23.386379138905763,23.65256914207345,72.80894047639285,72.68211408892061,72.99579985119048,83.89040697674417,0.4687306880950928,7.364316940307617,0.0006120204925537109,1508.84375,ok
ToN_IoT,HHH,None,StandardScaler,-1,42,7335,1920,8,0.1329921279327327,83.25231481481481,18.805555555555557,24.635416666666668,9.420572916666666,31.63695909771126,38.750640340349065,17.965037471812185,21.89524051831544,69.68787825582811,71.44519184523607,69.21584077380952,85.99578488372093,0.08339190483093262,7.149096965789795,0.0002522468566894531,2799.28125,ok
ToN_IoT,HHH,None,StandardScaler,-1,43,7333,1920,8,0.113018969941159,82.89351851851852,16.97222222222222,23.020833333333332,9.622395833333334,29.287204889932823,35.45110729615699,15.601211341876578,19.762820839629043,71.075359396604,72.84152534644306,70.5391369047619,89.62936046511628,0.6585240364074707,14.48504900932312,0.00023984909057617188,1509.46875,ok
ToN_IoT,HHH,None,StandardScaler,-1,44,7333,1920,8,0.11109045682321773,82.84722222222223,17.38888888888889,22.8125,9.6484375,28.527895068192528,34.1753335603671,15.77691112750851,19.545742976539124,71.52123331711263,73.17388129384548,70.96204241071428,87.21526162790698,0.14551997184753418,14.221520185470581,0.0004627704620361328,2802.75,ok
ToN_IoT,HHH,None,StandardScaler,-1,45,7333,1920,8,0.10845993441886694,82.8125,16.97222222222222,22.65625,9.66796875,26.834590370716384,31.27980705974308,15.597273083263477,19.422331127947125,70.23064797460788,72.08428969964073,69.60047619047619,87.8232558139535,0.3757030963897705,11.667239904403687,0.0004761219024658203,2802.75,ok
ToN_IoT,HHH,None,StandardScaler,-1,46,7333,1920,8,0.12370684458127372,83.11342592592592,18.055555555555557,24.010416666666668,9.498697916666666,36.09194572625289,45.36161784919482,17.112084920917237,21.27621173739843,70.2988995155747,72.12494178431989,69.69524925595239,84.1452034883721,0.15914487838745117,11.361586093902588,0.00024008750915527344,1511.5625,ok
ToN_IoT,HHH,abel,MinMaxScaler,-1,42,7333,1920,8,0.935289586821161,98.60677083333333,94.32291666666666,94.42708333333333,0.7961309523809523,93.5216317148997,94.60931957838787,93.85182379935006,94.42924058307341,97.90678142283195,98.01215068821115,97.82878348214287,98.69215116279071,0.07918500900268555,2.487293243408203,0.439284086227417,3314.734375,ok
ToN_IoT,HHH,abel,MinMaxScaler,-1,43,7335,1920,8,0.9418679355435201,98.75,94.52083333333331,95.0,0.7142857142857143,94.206438215536,95.16352636217646,94.29577168479814,95.0056167863124,98.37318390098713,98.60547988845256,98.28134672619048,98.61787790697673,0.08680319786071777,10.164010047912598,0.4342329502105713,3314.734375,ok
