dataset,model,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
N_BaIoT,KNFST,45,6880,1800,9,0.8825885697554275,97.67901234567901,89.55555555555554,89.55555555555556,1.3055555555555556,89.57475393082457,89.57475393082458,89.5409032621926,89.54090326219259,97.36902777777777,97.36902777777777,97.36902777777777,99.979375,0.33684587478637695,114.39344906806946,0.20791983604431152,9422.203125,ok
N_BaIoT,KNFST,46,6881,1800,9,0.8887689736065404,97.79012345679013,90.05555555555556,90.05555555555556,1.2430555555555556,90.29687308735753,90.29687308735754,90.0022566337694,90.0022566337694,97.2640625,97.26406250000001,97.2640625,99.97343749999999,0.3336219787597656,110.09418177604675,0.44840097427368164,9422.203125,ok
N_BaIoT,KNN,42,6880,1800,9,0.9837766443115967,99.67901234567901,98.55555555555556,98.55555555555556,0.18055555555555555,98.57439968442007,98.57439968442009,98.55435293951231,98.5543529395123,99.75253472222224,99.75253472222222,99.75253472222224,99.68406250000001,0.2751350402832031,0.0006220340728759766,0.037905216217041016,2980.171875,ok
N_BaIoT,KNN,43,6880,1800,9,0.9769309716069808,99.54320987654322,97.94444444444443,97.94444444444444,0.2569444444444445,97.98189844460782,97.98189844460785,97.94105655901171,97.9410565590117,99.245625,99.245625,99.245625,99.4671875,0.2977449893951416,0.0005588531494140625,0.03942394256591797,2980.171875,ok
N_BaIoT,KNN,44,6880,1800,9,0.9712800157142772,99.4320987654321,97.44444444444444,97.44444444444444,0.3194444444444445,97.4615806339452,97.46158063394522,97.44091997571184,97.44091997571185,99.08776041666667,99.08776041666667,99.08776041666667,98.58484374999999,0.2870159149169922,0.0005512237548828125,0.04151296615600586,2980.171875,ok
N_BaIoT,KNN,45,6880,1800,9,0.9750531553882665,99.50617283950616,97.77777777777779,97.77777777777777,0.2777777777777778,97.81748376240927,97.81748376240927,97.77623071558594,97.77623071558594,99.31057291666667,99.31057291666666,99.31057291666664,99.615625,0.2992439270019531,0.0004949569702148438,0.03816103935241699,2980.171875,ok
N_BaIoT,KNN,46,6881,1800,9,0.9732365230746446,99.46913580246914,97.61111111111111,97.61111111111111,0.2986111111111111,97.6950359094816,97.69503590948159,97.60966695496917,97.60966695496919,99.28263888888887,99.28263888888888,99.28263888888887,99.895,0.29665398597717285,0.00055694580078125,0.03718209266662598,2980.171875,ok
N_BaIoT,LDA,42,6880,1800,9,0.883482619824731,97.61728395061728,89.27777777777777,89.27777777777777,1.3402777777777777,90.39217258871619,90.39217258871619,87.8215035551924,87.82150355519241,99.15211805555555,99.15211805555556,99.15211805555555,99.9928125,0.2924842834472656,0.023273944854736328,0.0005300045013427734,2980.171875,ok
N_BaIoT,LDA,43,6880,1800,9,0.8805164717714222,97.55555555555556,89.0,89.0,1.375,90.3754185817276,90.3754185817276,87.48743596645608,87.48743596645609,99.28572916666667,99.28572916666667,99.28572916666667,99.99968750000001,0.2839360237121582,0.029179811477661133,0.0005011558532714844,2980.171875,ok
N_BaIoT,LDA,44,6880,1800,9,0.8719840811269457,97.38271604938271,88.22222222222221,88.22222222222223,1.472222222222222,89.67359359302891,89.6735935930289,86.42652772701973,86.42652772701973,98.80227430555554,98.80227430555556,98.80227430555554,99.95546875000001,0.2902798652648926,0.02439594268798828,0.0004999637603759766,2980.171875,ok
N_BaIoT,LDA,45,6880,1800,9,0.8721324855389481,97.38271604938271,88.22222222222223,88.22222222222223,1.472222222222222,89.52668126534303,89.52668126534302,86.47042703781085,86.47042703781085,98.83883680555557,98.83883680555556,98.83883680555556,99.95484375000001,0.2873969078063965,0.02343010902404785,0.0004928112030029297,2980.171875,ok
N_BaIoT,LDA,46,6881,1800,9,0.8675928586752983,97.29629629629629,87.83333333333333,87.83333333333333,1.5208333333333335,89.20738972808435,89.20738972808437,86.12755437604595,86.12755437604596,98.74390625000001,98.74390625000001,98.74390625000001,99.95890625,0.2896289825439453,0.024921178817749023,0.0005042552947998047,2980.171875,ok
