dataset,model,kernel,scaler,poly,gamma_setting,gamma_used,n_train,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_fit_s,t_predict_s,peak_rss_mb,status
IoTID20,HHH,poly,MinMaxScaler,-1,default,,7680,5,0.6164631703676245,89.3,56.58333333333333,6.419999999999999,63.000144792796895,57.11457821259206,88.317109375,94.027578125,1.8093371391296387,0.2555389404296875,3187.359375,ok
IoTID20,HHH,poly,MinMaxScaler,-1,heuristic,10638.275996394405,7680,5,0.6012286573845261,88.78333333333333,55.29166666666667,6.7299999999999995,64.40007413111884,57.99538151947363,85.512484375,90.054765625,30.3371319770813,0.2539041042327881,6599.84375,ok
IoTID20,HHH,rbf,StandardScaler,-1,default,,7680,5,0.6349703189123613,89.73333333333333,57.666666666666664,6.16,66.45902797073026,60.40483239275088,86.60478125,91.5734375,1.6463580131530762,0.16596078872680664,3187.359375,ok
IoTID20,HHH,rbf,StandardScaler,-1,heuristic,140.0860958088938,7680,5,0.5720489019918892,87.88333333333334,53.041666666666664,7.2700000000000005,59.77406811310495,52.7961440330559,80.36949999999999,91.696484375,1.3976759910583496,0.1468338966369629,3187.359375,ok
IoTID20,HHH,sigmoid,MinMaxScaler,-1,default,,7680,5,0.3356091094682102,77.72,44.3,13.925,27.916867413999675,34.02292520150099,76.04356250000001,71.22015625000002,30.869872093200684,0.1347181797027588,6599.84375,ok
IoTID20,HHH,sigmoid,MinMaxScaler,-1,heuristic,10638.275996394405,7680,5,0.15027958963470037,76.93333333333334,25.666666666666664,13.84,28.184898883870897,23.95458666552226,66.464,59.7053125,31.028082847595215,0.14919519424438477,6599.84375,ok
IoTID20,HHHv2,poly,StandardScaler,-1,default,,7680,5,0.80179874032967,93.62,84.05000000000001,3.9875000000000003,84.82206391349054,84.18660646115141,94.3924375,97.72015625000002,1.7215790748596191,0.24875402450561523,3187.359375,ok
IoTID20,HHHv2,poly,StandardScaler,-1,heuristic,140.0860958088938,7680,5,0.74136536116987,91.62,79.05,5.2375,80.06535857755355,78.85368249405754,87.461140625,89.83921875,2.891796112060547,0.31319093704223633,3187.359375,ok
IoTID20,HHHv2,rbf,QuantileTransformer,-1,default,,7680,5,0.8165935519312487,94.12,85.3,3.675,85.34796046022765,85.25299801334377,94.1080625,98.24578125000001,1.6491122245788574,0.1665630340576172,3187.359375,ok
IoTID20,HHHv2,rbf,QuantileTransformer,-1,heuristic,7.171790033915653,7680,5,0.7673173133646221,92.52,81.3,4.675,81.10628443895479,80.99370996425795,93.169578125,98.1421875,1.4396159648895264,0.15186095237731934,3187.359375,ok
IoTID20,HHHv2,sigmoid,StandardScaler,-1,default,,7680,5,0.5175435071742546,84.48,61.19999999999999,9.700000000000001,63.971485575616626,62.00001178950646,80.28109375000001,90.44609375000002,31.42300295829773,0.13486814498901367,6599.84375,ok
IoTID20,HHHv2,sigmoid,StandardScaler,-1,heuristic,140.0860958088938,7680,5,0.1546055530762301,72.58,31.45,17.1375,33.074302651791356,28.21777066020255,60.839265624999996,60.99281249999999,30.84247326850891,0.14313292503356934,6599.84375,ok
N_BaIoT,HHH,poly,MinMaxScaler,-1,default,,6917,9,0.903842395772366,98.24444444444444,82.10000000000001,0.9753086419753085,84.51166579045707,82.49623540101653,98.57249999999999,95.025625,0.997894287109375,0.2182168960571289,3187.359375,ok
N_BaIoT,HHH,poly,MinMaxScaler,-1,heuristic,151.21514249733522,6917,9,0.8504142639443877,97.25555555555555,77.64999999999999,1.5246913580246915,82.39818398219114,78.9940496691869,96.58005208333333,90.93125,1.5740060806274414,0.2236649990081787,3187.359375,ok
N_BaIoT,HHH,rbf,QuantileTransformer,-1,default,,6880,9,0.9551876335096794,99.2,86.4,0.4444444444444444,86.96806655060115,86.63532134897392,99.34628472222222,99.53812500000001,0.9443838596343994,0.1382288932800293,3187.359375,ok
N_BaIoT,HHH,rbf,QuantileTransformer,-1,heuristic,0.42454797581911774,6880,9,0.7122528848345291,94.78888888888889,66.55,2.8950617283950617,69.41504956983904,66.1311934659954,91.88895833333332,99.875,0.9971950054168701,0.15288424491882324,3187.359375,ok
N_BaIoT,HHH,sigmoid,MinMaxScaler,-1,default,,6917,9,0.0006729578718301243,80.25925925925927,11.166666666666664,11.104166666666666,15.64828817952479,6.846057010018111,66.404375,99.9446875,21.380213975906372,0.11544203758239746,7471.5625,ok
N_BaIoT,HHH,sigmoid,MinMaxScaler,-1,heuristic,151.21514249733522,6917,9,0.0,80.24691358024691,11.11111111111111,11.11111111111111,1.2345679012345678,2.2222222222222223,50.0,50.0,0.901724100112915,0.11269283294677734,3187.359375,ok
N_BaIoT,HHHv2,poly,QuantileTransformer,-1,default,,6880,9,0.9837684458312906,99.67901234567901,98.55555555555556,0.18055555555555555,98.56570590172414,98.55317321643979,99.44836805555555,99.85,1.003364086151123,0.21712708473205566,3187.359375,ok
N_BaIoT,HHHv2,poly,QuantileTransformer,-1,heuristic,0.42454797581911774,6880,9,0.9726215852977184,99.4567901234568,97.55555555555556,0.3055555555555556,97.59013577311788,97.52201149459988,99.49381944444444,99.33437499999998,2.029252052307129,0.21975016593933105,3187.359375,ok
N_BaIoT,HHHv2,rbf,QuantileTransformer,-1,default,,6880,9,0.9931353452137276,99.8641975308642,99.3888888888889,0.0763888888888889,99.39601521728528,99.38829846938285,99.86947916666666,99.9846875,0.9177100658416748,0.1384127140045166,3187.359375,ok
